,fire_name,discovery_month,putout_time,year
3173,CEDAR SOUTH,Jul,1,2007
3183,FY2002-SUMTER-037,Apr,0,2002
3185,C-138 SET2 (57),Jan,0,2012
3188,GARRISON RIDGE,Apr,0,2010
3194,CUBE,Jun,0,1993
3202,8060,Aug,0,2015
3203,ZION RIDGE,Mar,0,2015
3205,FIRE TOWER,Apr,0,2013
3213,SOUTH PINE,Aug,2,1999
3214,MAHOGANYMT,Jul,0,2001
3215,WEST SPRING CREEK,Sep,0,1995
3216,FY2014-TWIGGS-025,Feb,0,2014
3224,DEADMAN,Jun,0,2012
3227,973,Oct,0,2015
3233,SLOANS RIDGE,Jul,26,1996
3234,KILPATRICK,Aug,1,2006
3245,LOOKOUT,Mar,6,2010
3246,FY2013-WEBSTER-014,Mar,0,2013
3252,RED BUG ROAD,Aug,0,2013
3254,DRYWELL,Jun,0,1995
3259,64QBCPER00,Jul,0,2000
3261,TEN HORSE,Oct,0,1999
3273,CHOCTAW #6,Oct,0,2015
3274,WHAKATNA C,Jun,2,1997
3277,A1305034,Mar,0,2005
3278,FOX,Jun,0,2013
3284,WATUSI,Jul,3,2001
3289,A1303062,Oct,0,2003
3292,700,Dec,0,1995
3293,LAKESIDE DR/ GLADE SPRINGS,Apr,0,2012
3294,TH1710,Jun,0,2004
3302,FY2011-JACKSON-016,Mar,0,2011
3311,TIJUANA JOHN,Aug,5,2011
3315,BARONA,Aug,0,1997
3322,FY2011-JOHNSON-065,Feb,0,2011
3323,BEAR 2,Apr,1,2008
3325,THOMAS CREEK PRESERVE (16),Aug,0,2011
3333,TOWNE PARK (53),Mar,0,2013
3339,BIRTHDAY,Nov,0,2012
3348,FY2014-FANNIN-015,Feb,0,2014
3349,BEAR,May,0,2002
3353,FY2015-BARROW-010,Apr,0,2015
3355,GROUSE,Jun,1,2010
3365,FY2011-COFFEE-095,Jun,0,2011
3389,TRACT 84,Mar,2,2004
3391,BUCKHOLZ,Jul,0,2004
3394,204,Jun,30,2007
3398,HIGHWAY E FIRE,Feb,0,2004
3402,BRONCO,Jun,1,1997
3404,SEWER SMOKE,Apr,0,2015
3408,WOOD PILE,May,1,2008
3413,MANNSCHRIE,Apr,0,1998
3419,LAKES,May,3,2014
3420,M TENT,Aug,0,1994
